Date,HM-B.ST,ERIC-B.ST,SEB-A.ST,SWED-A.ST,VOLV-B.ST,TELIA.ST,SHB-A.ST,ATCO-A.ST,SKA-B.ST,INVE-B.ST,ELUX-B.ST,ASSA-B.ST,SCA-B.ST,ALFA.ST,INDU-C.ST,AZN.ST,ATCO-B.ST,ESSITY-B.ST,GETI-B.ST,KINV-B.ST,HEXA-B.ST,ALIV-SDB.ST,SKF-B.ST,LATO-B.ST,SAND.ST,INVE-A.ST,MTG-B.ST,FING-B.ST,Median_Return,HM-B.ST_Target,ERIC-B.ST_Target,SEB-A.ST_Target,SWED-A.ST_Target,VOLV-B.ST_Target,TELIA.ST_Target,SHB-A.ST_Target,ATCO-A.ST_Target,SKA-B.ST_Target,INVE-B.ST_Target,ELUX-B.ST_Target,ASSA-B.ST_Target,SCA-B.ST_Target,ALFA.ST_Target,INDU-C.ST_Target,AZN.ST_Target,ATCO-B.ST_Target,ESSITY-B.ST_Target,GETI-B.ST_Target,KINV-B.ST_Target,HEXA-B.ST_Target,ALIV-SDB.ST_Target,SKF-B.ST_Target,LATO-B.ST_Target,SAND.ST_Target,INVE-A.ST_Target,MTG-B.ST_Target,FING-B.ST_Target
2002-06-07,-0.032697547683923744,-0.04950486765093487,-0.015384666872693131,-0.011952235156241442,-0.011111153496636272,-0.003968268985800716,-0.020000022298699682,0.006593494938419875,-0.007518796992481258,-0.02285714285714291,-0.002898558780878524,-0.011235955056179803,0.004470986125402421,0.005586592178770999,0.0,-0.011070110701106972,0.002309497690078599,,-0.04301078551314619,-0.0198674845814516,-0.002881980708360432,-0.0022026431718061845,-0.0020790020790020236,0.0,-0.008791184590475232,-0.022222222222222254,-0.08522728784928879,-0.021052605842656447,-0.011070110701106972,0,0,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0
2002-06-10,-0.0028169014084507005,0.015624972490470679,0.015625053109653342,0.004032273061256086,-0.0028089460226743412,0.00398407888246699,0.006802728827814963,-0.0021834789642780628,-0.015151515151515138,0.005847953216374213,-0.002906894928534798,-0.007575815374201045,0.0014836396328152812,0.022222222222222143,-0.004347826086956497,0.03980099502487566,0.0023041762004660793,,0.039325826209382964,-0.020270316465389016,0.0,-0.004415011037527616,-0.018750000000000044,-0.014634147430728661,0.0022173553962121506,0.0,0.0,-0.06989243935754474,0.0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0
2002-06-11,-0.005649717514124242,-0.05641026696697071,-0.015384666872693131,0.0,0.005633824308153512,0.03571426949533518,-0.01013514658785497,0.002188256977356584,-0.023076923076923106,0.005813953488372103,-0.002915459782590002,0.0,-0.01333330784330411,-0.010869565217391353,-0.008733624454148492,-0.00837320574162681,-0.0022988791777769357,,-0.021621577822966254,0.031034496795492528,0.01156001418587449,-0.0022172949002217113,0.01273885350318471,-0.009900953077633834,0.002212360933797397,0.011363636363636465,0.018633574612547,0.0173408071979384,-0.0022172949002217113,0,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1
2002-06-12,-0.022727272727272707,-0.08695654420438015,-0.031249951718497093,-0.01204816331556302,0.0028010776466118603,-0.007662864368440658,-0.010238919538276603,0.0,0.0,-0.017341040462427793,0.032163739516562595,-0.011450382346255616,-0.027027058902717727,0.0,-0.017621145374449365,-0.024125452352231624,0.004608352400932159,,0.0,-0.04682273794763858,-0.0085706270876178,-0.013333333333333308,-0.008385744234800874,0.0,-0.006622520072036564,-0.016853932584269704,-0.042682928662526876,-0.062499726630200314,-0.011450382346255616,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0
2002-06-13,0.04941860465116288,0.029761917113122704,0.01612900653472593,-0.004065055587154864,0.0027933600823888405,0.007722037292863915,-0.010344839517735127,0.0,-0.007874015748031482,-0.02352941176470591,0.022662863453949633,-0.011583012265416026,0.006172846988652614,-0.005494505494505475,-0.022421524663677084,-0.028430160692212603,-0.009174425814634235,,0.0,-0.017543900135896684,0.008644717739642038,0.0022522522522523403,0.0021141649048626032,0.0024999619483934143,0.0,-0.02285714285714291,-0.047770708388408245,0.024242391578979783,0.0,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1
2002-06-14,-0.04155124653739617,0.0404624806892635,-0.02645501109188264,-0.020408163265306145,-0.03064073097672182,-0.07279691918622422,-0.006968649236496982,-0.045851613281205905,-0.023809523809523836,-0.012048192771084376,-0.024930730595677075,-0.015624941326674247,-0.018404930148315457,-0.03867403314917128,0.0183486238532109,0.0025445292620864812,-0.04629623927598325,,-0.03314916537791346,-0.07142855852221996,-0.011427907414053196,-0.035955056179775235,-0.02742616033755274,-0.004987455447947431,-0.026666680917778796,-0.011695906432748537,-0.01672243836089926,0.0,-0.023809523809523836,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1
2002-06-17,0.026011560693641522,-0.033333392020329145,0.03804347168947442,0.00833336407864893,0.005747148486326958,0.053718975044471984,0.007017552095549773,0.020594966305141016,0.008130081300812941,0.0060975609756097615,0.01420449627439968,0.03174600147065654,0.006250007670711044,0.04597701149425282,0.009009009009008917,0.04060913705583746,0.024271776204908724,,0.017142821544872122,0.0,-0.008671154841588313,-0.004662004662004615,0.02386117136659438,-0.0025063421493186633,0.011415561885180558,0.01183431952662728,0.010204100457468002,-0.011834500298672168,0.010204100457468002,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,0
2002-06-18,0.030985915492957705,-0.005747116667245478,0.00523556794236768,0.0,0.02285712105887283,0.003921583587048083,-0.0034843246182485466,-0.0044843200555120255,0.0,-0.0060606060606061,0.03361345193109244,0.0,0.0,0.0,0.008928571428571397,-0.017073170731707332,-0.009478646886020625,,0.014044978945227493,0.0,0.0,0.016393442622950838,0.006355932203389925,-0.02010042737647799,0.015801332344240304,-0.011695906432748537,-0.05387206924408383,0.11377258453656114,0.0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1
2002-06-19,0.0,-0.011560673876008232,-0.031249951718497093,-0.020661156394809477,0.0027933600823888405,-0.027343779394868317,-0.02447546956335922,-0.020270271185829802,-0.016129032258064502,-0.030487804878048808,0.002710034596971056,-0.01923074045124762,0.006211187699942222,-0.005494505494505475,-0.026548672566371723,-0.017369727047146455,-0.023923378471907508,,-0.002770140266112109,-0.023076912100160496,-0.008745650174668662,0.004608294930875667,-0.01473684210526316,-0.01538461538461533,-0.028888874637776785,-0.029585798816568087,-0.03202844102611524,-0.0053763195327597435,-0.017369727047146455,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1
2002-06-20,-0.03551912568306015,-0.09941521804505338,-0.04301079041573519,-0.046413516231891605,-0.03342620367507276,-0.07630520673246588,-0.0358423338072521,-0.03218387879498685,-0.040983606557377095,-0.037735849056603765,-0.048648615660470296,-0.01960790297564341,-0.04012350542624199,-0.016574585635359074,-0.0636363636363636,-0.04166666666666663,-0.01960793718912679,,-0.027777721698129865,-0.015748068091664513,-0.02352961758009864,-0.041284403669724745,-0.02991452991452992,-0.010416686534881592,-0.02517166836973772,-0.03658536585365857,-0.07352945441809922,-0.02702718990446551,-0.0358423338072521,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1
